episode,dqn_routing_reward,dqn_bottleneck_util,spf_bottleneck_util,dqn_avg_latency,spf_avg_latency,multicast_reward,multicast_bw_saved_mbps,ddos_accuracy,ddos_false_positive
160,-1.9759,23.54,25.06,10.00,14.00,22.6000,40.00,1.0,0.0
161,-1.2599,37.32,37.32,8.00,8.00,33.9000,60.00,0.0,0.0
162,-275.0535,95.56,95.19,5.00,5.00,45.2000,80.00,1.0,0.0
163,-3.8500,50.00,50.00,50.00,50.00,33.9000,60.00,1.0,0.0
164,-0.8443,27.95,27.95,2.50,2.50,22.6000,40.00,1.0,0.0
165,-3.2881,48.54,48.54,8.00,8.00,45.2000,80.00,0.0,0.0
166,-1.1261,28.41,28.41,8.00,8.00,27.2000,50.00,1.0,0.0
167,-6.8250,23.44,23.44,20.50,20.50,22.6000,40.00,1.0,0.0
168,-3.3027,29.56,29.56,3.00,3.00,38.5000,70.00,1.0,0.0
169,-1.9769,47.82,47.82,6.40,6.40,45.2000,80.00,1.0,0.0
170,-1.8705,21.45,21.45,14.00,14.00,27.2000,50.00,0.0,0.0
171,-1.0575,23.83,23.83,8.00,8.00,38.5000,70.00,1.0,0.0
172,-2.8726,20.69,20.69,13.50,13.50,22.6000,40.00,0.0,0.0
173,-2.0851,45.26,45.26,2.00,2.00,38.5000,70.00,1.0,0.0
174,-0.8065,21.43,21.43,3.70,3.70,27.2000,50.00,0.0,0.0
175,-1.9874,18.38,18.38,14.00,14.00,38.5000,70.00,1.0,0.0
176,-2.1199,27.99,28.57,10.00,14.00,22.6000,40.00,1.0,0.0
177,-3.9410,52.89,52.89,13.50,13.50,22.6000,40.00,0.0,0.0
178,-222.7765,94.99,94.99,2.00,2.00,22.6000,40.00,1.0,0.0
179,-4.5550,23.15,23.15,3.90,3.90,33.9000,60.00,1.0,0.0
180,-2.0404,24.66,18.25,10.00,14.00,22.6000,40.00,1.0,0.0
181,-1.5133,54.22,54.22,8.00,8.00,33.9000,60.00,0.0,0.0
182,-2.8067,27.11,91.38,18.00,19.50,22.6000,40.00,1.0,0.0
183,-7.0000,28.17,28.17,20.50,15.00,45.2000,80.00,1.0,0.0
184,-2.3222,23.15,28.62,13.80,13.00,45.2000,80.00,1.0,0.0
185,-2.2494,43.29,43.29,14.00,14.00,45.2000,80.00,1.0,0.0
186,-1.1201,28.00,28.00,8.00,8.00,33.9000,60.00,1.0,0.0
187,-3.8500,50.00,50.00,50.00,50.00,45.2000,80.00,0.0,0.0
188,-3.4743,13.67,13.67,11.00,11.00,33.9000,60.00,0.0,0.0
189,-3.3922,48.61,48.61,6.40,6.40,38.5000,70.00,0.0,0.0
190,-193.1991,14.03,14.03,8.00,8.00,33.9000,60.00,1.0,0.0
191,-2.0009,26.73,25.01,14.00,14.00,33.9000,60.00,1.0,0.0
192,-0.9789,12.47,12.47,2.00,2.00,38.5000,70.00,0.0,0.0
193,-1.4109,47.17,47.17,2.00,2.00,22.6000,40.00,1.0,0.0
194,-2.6046,16.18,16.18,20.70,20.70,38.5000,70.00,1.0,0.0
195,-6.1500,18.56,28.32,14.00,14.00,22.6000,40.00,1.0,0.0
196,-1.9328,26.94,26.94,10.00,14.00,22.6000,40.00,1.0,0.0
197,-2.6711,41.40,49.58,17.00,13.50,22.6000,40.00,0.0,0.0
198,-105.4299,92.06,92.06,5.00,5.00,22.6000,40.00,0.0,0.0
199,-2.9129,27.02,50.00,22.50,75.00,45.2000,80.00,1.0,0.0
200,-2.9129,22.15,22.15,8.00,8.00,33.9000,60.00,1.0,0.0
201,-2.4034,52.79,53.86,10.00,14.00,45.2000,80.00,0.0,0.0
202,-198.0800,96.30,96.30,5.00,5.00,33.9000,60.00,1.0,0.0
203,-4.6000,50.00,50.00,53.00,53.00,22.6000,40.00,0.0,0.0
204,-2.4422,26.17,18.72,16.50,12.70,22.6000,40.00,0.0,0.0
205,-1.4812,52.08,52.08,8.00,8.00,33.9000,60.00,1.0,0.0
206,-71.1392,24.07,24.07,8.00,8.00,45.2000,80.00,0.0,0.0
207,-4.6000,50.00,50.00,53.00,53.00,38.5000,70.00,1.0,0.0
208,-1.7082,19.95,18.22,2.00,2.00,22.6000,40.00,1.0,0.0
209,-3.0789,47.13,45.16,16.00,20.00,22.6000,40.00,0.0,0.0
210,-0.9589,17.26,17.26,8.00,8.00,22.6000,40.00,1.0,0.0
211,-6.1500,17.30,24.46,14.00,14.00,22.6000,40.00,1.0,0.0
212,-1.8254,29.64,25.03,5.00,5.00,38.5000,70.00,1.0,0.0
213,-1.4409,40.82,52.33,2.00,2.00,22.6000,40.00,0.0,0.0
214,-1.3510,23.04,23.04,3.20,3.20,38.5000,70.00,1.0,0.0
215,-4.7500,23.84,28.36,14.00,14.00,33.9000,60.00,0.0,0.0
216,-2.1013,26.75,22.71,10.00,14.00,22.6000,40.00,1.0,0.0
217,-1.4746,46.91,46.91,2.00,2.00,45.2000,80.00,1.0,0.0
218,-219.3670,97.30,97.30,2.00,2.00,45.2000,80.00,1.0,0.0
219,-5.9750,26.41,26.41,9.70,9.70,22.6000,40.00,1.0,0.0
220,-1.0452,23.01,23.01,8.00,8.00,45.2000,80.00,0.0,0.0
221,-3.2581,37.82,37.82,8.00,8.00,45.2000,80.00,0.0,0.0
222,-108.1027,19.55,19.55,4.00,4.00,22.6000,40.00,0.0,0.0
223,-5.3500,50.00,50.00,53.00,53.00,33.9000,60.00,0.0,0.0
224,-2.4591,18.37,18.37,10.80,10.80,45.2000,80.00,1.0,0.0
225,-2.3724,36.89,36.89,8.00,8.00,33.9000,60.00,1.0,0.0
226,-1.0952,26.35,26.35,8.00,8.00,22.6000,40.00,0.0,0.0
227,-1.9253,23.35,23.35,13.50,13.50,38.5000,70.00,1.0,0.0
228,-1.0279,21.86,21.86,2.00,2.00,33.9000,60.00,0.0,0.0
229,-2.1211,41.45,49.41,11.60,15.60,38.5000,70.00,1.0,0.0
230,-2.8422,27.64,27.64,8.00,8.00,33.9000,60.00,1.0,0.0
231,-4.7500,10.21,10.21,8.00,8.00,38.5000,70.00,1.0,0.0
232,-1.3083,22.22,22.22,7.50,7.50,38.5000,70.00,0.0,0.0
233,-1.4708,44.37,51.78,2.00,2.00,22.6000,40.00,1.0,0.0
234,-1.6863,22.81,22.81,5.00,5.00,20.5000,40.00,1.0,0.0
235,-1.0311,22.08,22.08,8.00,8.00,22.6000,40.00,1.0,0.0
236,-2.9474,28.47,28.47,8.00,8.00,33.9000,60.00,1.0,0.0
237,-2.2051,42.55,53.86,5.00,5.00,33.9000,60.00,0.0,0.0
238,-1.0652,21.01,21.01,3.00,3.00,33.9000,60.00,0.0,0.0
239,-4.5950,22.82,22.82,13.20,13.20,45.2000,80.00,1.0,0.0
240,-1.0468,23.12,23.12,8.00,8.00,22.6000,40.00,1.0,0.0
